Date/Time,Open,High,Low,Close,Volume,Open Interest
2019-07-08,38.95,39.28,38.57,38.78,1303050,0
2019-07-09,38.78,39.24,38.61,39.16,992570,0
2019-07-10,39.32,39.74,39.2,39.41,1281980,0
2019-07-11,39.49,39.57,39.2,39.36,854140,0
2019-07-12,39.45,39.74,39.2,39.36,1241970,0
2019-07-13,,,,,0,0
2019-07-14,,,,,0,0
2019-07-15,39.32,39.83,39.24,39.62,1176060,0
2019-07-16,39.66,40.04,39.57,39.62,1160000,0
2019-07-17,39.62,39.78,39.36,39.41,1292630,0
2019-07-18,39.36,39.45,39.2,39.2,1035440,0
2019-07-19,39.32,40.45,39.28,40.37,2811560,0
2019-07-20,,,,,0,0
2019-07-21,,,,,0,0
2019-07-22,40.37,40.75,40.16,40.5,1755780,0
2019-07-23,40.62,40.87,40.29,40.87,948550,0
2019-07-24,41.33,41.38,40.71,40.71,1952770,0
2019-07-25,40.71,41.0,40.62,40.75,1157100,0
2019-07-26,40.62,40.87,40.5,40.87,1043020,0
2019-07-27,,,,,0,0
2019-07-28,,,,,0,0
2019-07-29,40.87,40.87,40.37,40.71,1130450,0
2019-07-30,40.71,40.71,39.95,40.04,2092220,0
2019-07-31,40.04,40.54,39.78,40.54,1111880,0
2019-08-01,40.54,40.71,40.37,40.5,965060,0
2019-08-02,40.24,41.04,40.08,40.87,1451900,0
2019-08-03,,,,,0,0
2019-08-04,,,,,0,0
2019-08-05,40.91,41.71,40.87,41.04,2322100,0
2019-08-06,40.37,41.29,40.37,41.0,1304570,0
2019-08-07,41.04,41.67,41.0,41.67,1246410,0
2019-08-08,41.75,42.38,41.75,42.13,2085510,0
2019-08-09,42.13,43.05,41.88,42.8,1751680,0
2019-08-10,,,,,0,0
2019-08-11,,,,,0,0
2019-08-12,42.8,44.06,42.46,43.8,1817920,0
2019-08-13,43.64,44.56,43.3,43.97,2237980,0
2019-08-14,44.39,44.98,44.22,44.56,2205370,0
2019-08-15,44.3,45.24,43.88,45.24,2223880,0
2019-08-16,45.24,47.03,44.39,44.39,4531020,0
2019-08-17,,,,,0,0
2019-08-18,,,,,0,0
2019-08-19,44.47,44.98,43.7,44.73,2849780,0
2019-08-20,44.81,46.09,44.81,46.09,2277750,0
2019-08-21,46.18,46.52,45.58,45.75,1808020,0
2019-08-22,45.75,46.35,45.16,45.24,1892640,0
2019-08-23,45.33,46.44,44.9,46.44,1868200,0
2019-08-24,,,,,0,0
2019-08-25,,,,,0,0
2019-08-26,45.84,46.27,45.75,45.84,1756160,0
2019-08-27,46.09,46.35,45.07,45.07,1566370,0
2019-08-28,45.24,45.41,44.47,44.47,1537860,0
2019-08-29,44.56,45.07,44.3,44.98,972940,0
2019-08-30,45.24,45.58,45.16,45.33,708360,0
2019-08-31,,,,,0,0
2019-09-01,,,,,0,0
2019-09-02,,,,,0,0
2019-09-03,45.24,46.09,45.24,45.84,1360230,0
2019-09-04,45.84,46.27,45.24,45.41,1655300,0
2019-09-05,45.58,45.67,44.9,44.9,1243680,0
2019-09-06,45.16,45.41,44.64,45.16,1142710,0
2019-09-07,,,,,0,0
2019-09-08,,,,,0,0
2019-09-09,45.24,46.44,44.81,45.92,2507800,0
2019-09-10,46.27,46.44,45.75,46.09,1731610,0
2019-09-11,46.18,46.27,45.58,46.18,1179670,0
2019-09-12,46.44,48.23,46.44,48.23,3799910,0
2019-09-13,48.23,49.0,48.06,48.48,2123900,0
2019-09-14,,,,,0,0
2019-09-15,,,,,0,0
2019-09-16,48.57,49.51,48.4,49.25,1339560,0
2019-09-17,49.0,49.59,48.74,49.17,1194690,0
2019-09-18,49.42,49.42,48.06,48.14,2592910,0
2019-09-19,48.31,49.34,47.97,49.34,1432730,0
2019-09-20,49.25,50.19,49.17,49.68,1396120,0
2019-09-21,,,,,0,0
2019-09-22,,,,,0,0
2019-09-23,49.51,49.76,48.23,48.23,2313090,0
2019-09-24,48.14,48.66,47.63,47.97,2537600,0
2019-09-25,48.06,49.0,47.89,49.0,1442410,0
2019-09-26,49.25,49.51,48.83,49.25,992640,0
2019-09-27,49.17,50.19,49.0,49.94,2510520,0
2019-09-28,,,,,0,0
2019-09-29,,,,,0,0
2019-09-30,50.62,50.79,49.25,49.25,2199170,0
2019-10-01,49.25,49.94,49.17,49.94,1644130,0
2019-10-02,49.94,50.02,48.83,48.83,2439020,0
2019-10-03,48.31,49.0,48.14,48.83,2804850,0
2019-10-04,49.08,49.08,48.4,48.48,1271210,0
2019-10-05,,,,,0,0
2019-10-06,,,,,0,0
2019-10-07,48.48,48.83,47.37,47.37,2371810,0
2019-10-08,47.37,47.97,47.12,47.89,1337220,0
2019-10-09,48.06,48.66,47.63,48.14,937530,0
2019-10-10,48.31,48.66,48.14,48.14,808000,0
